
   191084 1041 1056 2 2 1  59
   No   X Co-ord  Y Co-ord  Bearing     Angle   Distance   Notes
    1    716.90    379.60      0.00      0.00      0.00          
    2    684.30    378.60    268.23      0.00     32.62          
    3    657.40    373.00    258.23    -10.00     27.48          
    4    630.20    374.70    273.59     15.35     27.25          
    5    605.20    367.70    254.35    -19.24     25.96          
    6    581.50    358.30    248.36     -5.99     25.50          
    7    566.80    328.90    206.56    -41.80     32.87          
    8    546.30    311.50    229.67     23.11     26.89          
    9    530.70    287.10    212.59    -17.08     28.96          
   10    514.90    265.00    215.56      2.97     27.17          
   11    506.70    259.90    238.11     22.56      9.66          
   12    491.60    256.70    258.03     19.91     15.44          
   13    472.90    256.30    268.76     10.74     18.70          
   14    453.10    257.60    273.77      5.00     19.84          
   15    431.40    253.80    260.06    -13.71     22.03          
   16    405.70    247.20    255.59     -4.47     26.53          
   17    385.50    253.40    287.07     31.48     21.13          
   18    382.30    257.40    321.34     34.27      5.12          
   19    375.80    273.60    338.14     16.80     17.46          
   20    378.30    307.00      4.28     26.14     33.49          
   21    382.10    331.90      8.68      4.40     25.19          
   22    391.00    357.10     19.45     10.77     26.73          
   23    404.90    379.00     32.40     12.95     25.94          
   24    423.90    396.50     47.35     14.95     25.83          
   25    445.90    415.20     49.63      2.28     28.87          
   26    464.30    427.90     55.38      5.75     22.36          
   27    474.30    431.10     72.25     16.87     10.50          
   28    481.40    439.00     41.94    -30.30     10.62          
   29    483.80    453.80      9.21    -32.73     14.99          
   30    480.80    472.90    351.07    -18.14     19.33          
   31    503.70    483.90     64.34     73.26     25.40          
   32    532.10    475.10    107.22     42.89     29.73          
   33    564.40    473.60     92.67    -14.56     32.33          
   34    588.40    478.70     77.99    -14.67     24.54          
   35    601.60    475.60    103.23     25.23     13.56          
   36    622.30    467.90    110.41      7.19     22.09          
   37    644.00    447.70    132.96     22.54     29.65          
   38    655.30    434.80    138.79      5.83     17.15          
   39    673.00    428.50    109.60    -29.19     18.79          
   40    688.50    415.00    131.06     21.46     20.55          
   41    695.20    409.00    131.85      0.79      8.99          
   42    695.20    409.00   -999.00   -999.00      0.00          
   43    703.40    398.00    143.30     53.31     13.72          
   44    711.70    381.00    153.98     10.68     18.92          
   45    711.50    356.40    180.47     26.49     24.60          
   46    699.70    336.70    210.92     30.45     22.96          
   47    686.80    318.00    214.60      3.68     22.72          
   48    674.30    299.40    213.90     -0.70     22.41          
   49    656.50    283.40    228.04     14.14     23.93          
   50    641.00    274.70    240.69     12.65     17.77          
   51    622.20    267.10    247.98      7.29     20.28          
   52    604.10    265.80    265.88     17.90     18.15          
   53    576.70    253.90    246.52    -19.37     29.87          
   54    552.60    249.20    258.96     12.44     24.55          
   55    528.90    250.90    274.11     15.16     23.76          
   56    510.60    241.90    243.80    -30.31     20.39          
   57    489.00    230.10    241.35     -2.46     24.61          
   58    483.70    228.30    251.23      9.89      5.60          
   59    483.70    228.30   -999.00   -999.00      0.00          

   191084 1020 1029 2 2 1  34
   No   X Co-ord  Y Co-ord  Bearing     Angle   Distance   Notes
    1    604.20    310.90      0.00      0.00      0.00          
    2    601.40    307.10    216.38      0.00      4.72          
    3    599.80    298.60    190.66    -25.72      8.65          
    4    598.30    288.80    188.70     -1.96      9.91          
    5    595.30    279.90    198.63      9.92      9.39          
    6    601.50    268.30    151.88    -46.75     13.15          
    7    604.20    256.90    166.68     14.80     11.72          
    8    600.70    241.70    192.97     26.29     15.60          
    9    592.40    231.80    219.97     27.01     12.92          
   10    581.40    224.80    237.52     17.55     13.04          
   11    570.90    219.40    242.78      5.25     11.81          
   12    563.80    206.30    208.45    -34.32     14.90          
   13    551.00    194.90    228.31     19.85     17.14          
   14    539.90    185.40    229.44      1.13     14.61          
   15    523.70    180.80    254.14     24.70     16.84          
   16    501.40    165.40    235.37    -18.77     27.10          
   17    479.70    163.20    264.20     28.84     21.81          
   18    462.90    154.70    243.16    -21.05     18.83          
   19    458.60    152.60    243.96      0.81      4.79          
   20    458.60    152.50   -999.00   -999.00      0.10          
   21    458.60    152.60   -999.00   -999.00      0.10          
   22    458.60    152.50   -999.00   -999.00      0.10          
   23    450.30    149.60    250.73     70.73      8.79          
   24    437.40    149.00    267.33     16.59     12.91          
   25    418.40    149.00    270.01      2.68     19.00          
   26    402.10    161.90    308.36     38.35     20.79          
   27    387.00    171.40    302.18     -6.18     17.84          
   28    369.60    183.90    305.70      3.52     21.42          
   29    358.80    195.70    317.54     11.84     16.00          
   30    351.00    208.10    327.83     10.29     14.65          
   31    338.90    222.80    320.55     -7.29     19.04          
   32    326.50    240.40    324.84      4.29     21.53          
   33    310.50    249.60    299.91    -24.93     18.46          
   34    300.70    258.10    310.94     11.04     12.97          

   191084 1106 1120 2 2 1  55
   No   X Co-ord  Y Co-ord  Bearing     Angle   Distance   Notes
    1    588.40    475.60      0.00      0.00      0.00          
    2    588.50    469.80    179.01      0.00      5.80          
    3    591.90    462.30    155.62    -23.40      8.23          
    4    593.90    456.70    160.35      4.73      5.95          
    5    598.80    445.40    156.56     -3.79     12.32          
    6    601.20    437.50    163.10      6.54      8.26          
    7    607.00    427.40    150.14    -12.97     11.65          
    8    613.50    424.50    114.05    -36.08      7.12          
    9    624.50    423.80     93.65    -20.40     11.02          
